sample_index,time_s,time_error_s
82,0.82,-1.39079754725181e-11
83,0.83,-9.93374491701013e-12
84,0.84,-8.3081115666406e-12
85,0.85,-1.81561347824691e-12
86,0.86,-2.3431542377304e-12
87,0.87,-1.41277226672439e-11
88,0.88,-9.39028267801494e-12
89,0.89,-4.19256522846528e-12
90,0.9,-3.63397137954748e-12
91,0.91,-6.96976153355386e-13
92,0.92,-6.73553428678518e-13
93,0.93,-4.43536194014479e-13
94,0.94,-9.60523608964202e-13
95,0.95,-7.65325659490893e-12
96,0.96,-1.15727475057277e-11
97,0.97,-2.3209800607702e-11
98,0.98,-2.11939522996732e-11
99,0.99,-2.44378485462642e-11
100,1,-2.42295020993459e-11
101,1.01,-2.10877415337703e-11
102,1.02,-2.54978097121628e-11
103,1.03,-2.70771674161049e-11
104,1.04,-2.48636713938175e-11
105,1.05,-3.27855569719511e-11
106,1.06,-4.04054494601382e-11
107,1.07,-4.45035509237475e-11
108,1.08,-5.28176070824597e-11
109,1.09,-4.5217749156336e-11
110,1.1,-4.16032796914726e-11
111,1.11,-4.04706982928945e-11
112,1.12,-3.51845668228422e-11
113,1.13,-3.19080935727016e-11
114,1.14,-3.60382410049486e-11
115,1.15,-2.62266414023419e-11
116,1.16,-2.55920778838492e-11
117,1.17,-2.29451790573184e-11
118,1.18,-1.77084834332267e-11
119,1.19,-2.23078588131056e-11
120,1.2,-2.6851842886389e-11
121,1.21,-3.19084756708113e-11
122,1.22,-3.21295307404872e-11
123,1.23,-2.74027812045299e-11
124,1.24,-3.18348134105066e-11
125,1.25,-3.15884116280975e-11
126,1.26,-3.27356502745835e-11
127,1.27,-3.79444311447603e-11
128,1.28,-4.21431292418949e-11
129,1.29,-4.39801081847094e-11
130,1.3,-3.96873407013732e-11
131,1.31,-4.14132717403288e-11
132,1.32,-4.0733526796764e-11
133,1.33,-3.78293676383124e-11
134,1.34,-3.85330943307684e-11
135,1.35,-3.31685338315671e-11
136,1.36,-2.81489626353156e-11
137,1.37,-3.29718194674398e-11
138,1.38,-3.3050285116497e-11
139,1.39,-3.48418648209012e-11
140,1.4,-4.32698118345418e-11
141,1.41,-4.85896133109093e-11
142,1.42,-4.51923108509229e-11
143,1.43,-4.50535856946087e-11
144,1.44,-4.7287888961897e-11
145,1.45,-5.01510092315771e-11
146,1.46,-4.30920075758859e-11
147,1.47,-4.81840642417635e-11
148,1.48,-5.40070857250694e-11
149,1.49,-5.44435700549339e-11
150,1.5,-4.66763020323039e-11
151,1.51,-5.11778647987311e-11
152,1.52,-5.0264767531786e-11
