# CSV_WAVEFORM_V1
# source=MATLAB
# waveform=sine
# signal_type=waveform_playback_table
# sample_count=512
# sample_rate_hz=51200
# output_frequency_hz=100
# bits=8
# code_format=uint8
# code_min=0
# code_mid=128
# code_max=255
# x_unit=s
# y_unit=code
# columns=index,time_s,phase_norm,amplitude_norm,code_dec,code_hex
index,time_s,phase_norm,amplitude_norm,code_dec,code_hex
0,0.000000000000,0.000000000000,0.000000000000,128,80
1,0.000019531250,0.001953125000,0.012271538286,129,81
2,0.000039062500,0.003906250000,0.024541228523,131,83
3,0.000058593750,0.005859375000,0.036807222941,132,84
4,0.000078125000,0.007812500000,0.049067674327,134,86
5,0.000097656250,0.009765625000,0.061320736302,135,87
6,0.000117187500,0.011718750000,0.073564563600,137,89
7,0.000136718750,0.013671875000,0.085797312344,138,8A
8,0.000156250000,0.015625000000,0.098017140330,140,8C
9,0.000175781250,0.017578125000,0.110222207294,142,8E
10,0.000195312500,0.019531250000,0.122410675199,143,8F
11,0.000214843750,0.021484375000,0.134580708507,145,91
12,0.000234375000,0.023437500000,0.146730474455,146,92
13,0.000253906250,0.025390625000,0.158858143334,148,94
14,0.000273437500,0.027343750000,0.170961888760,149,95
15,0.000292968750,0.029296875000,0.183039887955,151,97
16,0.000312500000,0.031250000000,0.195090322016,152,98
17,0.000332031250,0.033203125000,0.207111376192,154,9A
18,0.000351562500,0.035156250000,0.219101240157,155,9B
19,0.000371093750,0.037109375000,0.231058108281,157,9D
20,0.000390625000,0.039062500000,0.242980179903,158,9E
21,0.000410156250,0.041015625000,0.254865659605,160,A0
22,0.000429687500,0.042968750000,0.266712757475,162,A2
23,0.000449218750,0.044921875000,0.278519689385,163,A3
24,0.000468750000,0.046875000000,0.290284677254,165,A5
25,0.000488281250,0.048828125000,0.302005949319,166,A6
26,0.000507812500,0.050781250000,0.313681740399,167,A7
27,0.000527343750,0.052734375000,0.325310292162,169,A9
28,0.000546875000,0.054687500000,0.336889853392,170,AA
29,0.000566406250,0.056640625000,0.348418680249,172,AC
30,0.000585937500,0.058593750000,0.359895036535,173,AD
31,0.000605468750,0.060546875000,0.371317193952,175,AF
32,0.000625000000,0.062500000000,0.382683432365,176,B0
33,0.000644531250,0.064453125000,0.393992040061,178,B2
34,0.000664062500,0.066406250000,0.405241314005,179,B3
35,0.000683593750,0.068359375000,0.416429560098,181,B5
36,0.000703125000,0.070312500000,0.427555093430,182,B6
37,0.000722656250,0.072265625000,0.438616238539,183,B7
38,0.000742187500,0.074218750000,0.449611329655,185,B9
39,0.000761718750,0.076171875000,0.460538710958,186,BA
40,0.000781250000,0.078125000000,0.471396736826,188,BC
41,0.000800781250,0.080078125000,0.482183772079,189,BD
42,0.000820312500,0.082031250000,0.492898192230,190,BE
43,0.000839843750,0.083984375000,0.503538383726,192,C0
44,0.000859375000,0.085937500000,0.514102744193,193,C1
45,0.000878906250,0.087890625000,0.524589682678,194,C2
46,0.000898437500,0.089843750000,0.534997619887,196,C4
47,0.000917968750,0.091796875000,0.545324988422,197,C5
48,0.000937500000,0.093750000000,0.555570233020,198,C6
49,0.000957031250,0.095703125000,0.565731810784,200,C8
50,0.000976562500,0.097656250000,0.575808191418,201,C9
51,0.000996093750,0.099609375000,0.585797857456,202,CA
52,0.001015625000,0.101562500000,0.595699304492,203,CB
53,0.001035156250,0.103515625000,0.605511041404,205,CD
54,0.001054687500,0.105468750000,0.615231590581,206,CE
55,0.001074218750,0.107421875000,0.624859488142,207,CF
56,0.001093750000,0.109375000000,0.634393284164,208,D0
57,0.001113281250,0.111328125000,0.643831542890,210,D2
58,0.001132812500,0.113281250000,0.653172842954,211,D3
59,0.001152343750,0.115234375000,0.662415777590,212,D4
60,0.001171875000,0.117187500000,0.671558954847,213,D5
61,0.001191406250,0.119140625000,0.680600997795,214,D6
62,0.001210937500,0.121093750000,0.689540544737,215,D7
63,0.001230468750,0.123046875000,0.698376249409,217,D9
64,0.001250000000,0.125000000000,0.707106781187,218,DA
65,0.001269531250,0.126953125000,0.715730825284,219,DB
66,0.001289062500,0.128906250000,0.724247082951,220,DC
67,0.001308593750,0.130859375000,0.732654271672,221,DD
68,0.001328125000,0.132812500000,0.740951125355,222,DE
69,0.001347656250,0.134765625000,0.749136394523,223,DF
70,0.001367187500,0.136718750000,0.757208846506,224,E0
71,0.001386718750,0.138671875000,0.765167265622,225,E1
72,0.001406250000,0.140625000000,0.773010453363,226,E2
73,0.001425781250,0.142578125000,0.780737228572,227,E3
74,0.001445312500,0.144531250000,0.788346427627,228,E4
75,0.001464843750,0.146484375000,0.795836904609,229,E5
76,0.001484375000,0.148437500000,0.803207531481,230,E6
77,0.001503906250,0.150390625000,0.810457198253,231,E7
78,0.001523437500,0.152343750000,0.817584813152,232,E8
79,0.001542968750,0.154296875000,0.824589302785,233,E9
80,0.001562500000,0.156250000000,0.831469612303,234,EA
81,0.001582031250,0.158203125000,0.838224705555,234,EA
82,0.001601562500,0.160156250000,0.844853565250,235,EB
83,0.001621093750,0.162109375000,0.851355193105,236,EC
84,0.001640625000,0.164062500000,0.857728610000,237,ED
85,0.001660156250,0.166015625000,0.863972856122,238,EE
86,0.001679687500,0.167968750000,0.870086991109,238,EE
87,0.001699218750,0.169921875000,0.876070094195,239,EF
88,0.001718750000,0.171875000000,0.881921264348,240,F0
89,0.001738281250,0.173828125000,0.887639620403,241,F1
90,0.001757812500,0.175781250000,0.893224301196,241,F1
91,0.001777343750,0.177734375000,0.898674465694,242,F2
92,0.001796875000,0.179687500000,0.903989293123,243,F3
93,0.001816406250,0.181640625000,0.909167983091,243,F3
94,0.001835937500,0.183593750000,0.914209755704,244,F4
95,0.001855468750,0.185546875000,0.919113851690,245,F5
96,0.001875000000,0.187500000000,0.923879532511,245,F5
97,0.001894531250,0.189453125000,0.928506080473,246,F6
98,0.001914062500,0.191406250000,0.932992798835,246,F6
99,0.001933593750,0.193359375000,0.937339011913,247,F7
100,0.001953125000,0.195312500000,0.941544065183,248,F8
101,0.001972656250,0.197265625000,0.945607325381,248,F8
102,0.001992187500,0.199218750000,0.949528180593,249,F9
103,0.002011718750,0.201171875000,0.953306040354,249,F9
104,0.002031250000,0.203125000000,0.956940335732,250,FA
105,0.002050781250,0.205078125000,0.960430519416,250,FA
106,0.002070312500,0.207031250000,0.963776065795,250,FA
107,0.002089843750,0.208984375000,0.966976471045,251,FB
108,0.002109375000,0.210937500000,0.970031253195,251,FB
109,0.002128906250,0.212890625000,0.972939952206,252,FC
110,0.002148437500,0.214843750000,0.975702130039,252,FC
111,0.002167968750,0.216796875000,0.978317370720,252,FC
112,0.002187500000,0.218750000000,0.980785280403,253,FD
113,0.002207031250,0.220703125000,0.983105487431,253,FD
114,0.002226562500,0.222656250000,0.985277642389,253,FD
115,0.002246093750,0.224609375000,0.987301418158,253,FD
116,0.002265625000,0.226562500000,0.989176509965,254,FE
117,0.002285156250,0.228515625000,0.990902635428,254,FE
118,0.002304687500,0.230468750000,0.992479534599,254,FE
119,0.002324218750,0.232421875000,0.993906970002,254,FE
120,0.002343750000,0.234375000000,0.995184726672,254,FE
121,0.002363281250,0.236328125000,0.996312612183,255,FF
122,0.002382812500,0.238281250000,0.997290456679,255,FF
123,0.002402343750,0.240234375000,0.998118112900,255,FF
124,0.002421875000,0.242187500000,0.998795456205,255,FF
125,0.002441406250,0.244140625000,0.999322384588,255,FF
126,0.002460937500,0.246093750000,0.999698818696,255,FF
127,0.002480468750,0.248046875000,0.999924701839,255,FF
128,0.002500000000,0.250000000000,1.000000000000,255,FF
129,0.002519531250,0.251953125000,0.999924701839,255,FF
130,0.002539062500,0.253906250000,0.999698818696,255,FF
131,0.002558593750,0.255859375000,0.999322384588,255,FF
132,0.002578125000,0.257812500000,0.998795456205,255,FF
133,0.002597656250,0.259765625000,0.998118112900,255,FF
134,0.002617187500,0.261718750000,0.997290456679,255,FF
135,0.002636718750,0.263671875000,0.996312612183,255,FF
136,0.002656250000,0.265625000000,0.995184726672,254,FE
137,0.002675781250,0.267578125000,0.993906970002,254,FE
138,0.002695312500,0.269531250000,0.992479534599,254,FE
139,0.002714843750,0.271484375000,0.990902635428,254,FE
140,0.002734375000,0.273437500000,0.989176509965,254,FE
141,0.002753906250,0.275390625000,0.987301418158,253,FD
142,0.002773437500,0.277343750000,0.985277642389,253,FD
143,0.002792968750,0.279296875000,0.983105487431,253,FD
144,0.002812500000,0.281250000000,0.980785280403,253,FD
145,0.002832031250,0.283203125000,0.978317370720,252,FC
146,0.002851562500,0.285156250000,0.975702130039,252,FC
147,0.002871093750,0.287109375000,0.972939952206,252,FC
148,0.002890625000,0.289062500000,0.970031253195,251,FB
149,0.002910156250,0.291015625000,0.966976471045,251,FB
150,0.002929687500,0.292968750000,0.963776065795,250,FA
151,0.002949218750,0.294921875000,0.960430519416,250,FA
152,0.002968750000,0.296875000000,0.956940335732,250,FA
153,0.002988281250,0.298828125000,0.953306040354,249,F9
154,0.003007812500,0.300781250000,0.949528180593,249,F9
155,0.003027343750,0.302734375000,0.945607325381,248,F8
156,0.003046875000,0.304687500000,0.941544065183,248,F8
157,0.003066406250,0.306640625000,0.937339011913,247,F7
158,0.003085937500,0.308593750000,0.932992798835,246,F6
